id,name
10001,1705
10002,2057
10003,2542
10004,270
10005,687
10006,282
10007,404
10009,3793
10010,2006
10011,3549
10012,1381
10013,1330
10014,2345
10016,2580
10017,760
10018,677
10019,2844
10020,5
10021,2303
10022,1768
10023,3895
10024,3616
10025,4785
10026,1068
10027,1604
10028,2732
10029,2743
10030,591
10031,1296
10032,1274
10033,1251
10034,1090
10035,951
10036,2000
10037,481
10038,1360
10039,646
10040,948
10044,384
10065,1607
10075,1433
10128,3567
10280,510
10301,1137
10302,531
10303,616
10304,1212
10305,1278
10306,2110
10307,557
10308,1233
10309,1296
10310,808
10312,2520
10314,2701
10451,790
10452,705
10453,766
10454,701
10455,708
10456,1044
10457,836
10458,904
10459,733
10460,915
10461,1377
10462,1455
10463,1680
10464,228
10465,1509
10466,707
10467,1365
10468,770
10469,998
10470,254
10471,776
10472,995
10473,1357
10474,160
10475,511
11004,312
11005,7
11101,1984
11102,1224
11103,863
11104,909
11105,1098
11106,1136
11201,3987
11203,715
11204,889
11205,1381
11206,2247
11207,1452
11208,1184
11209,2208
11210,572
11211,2372
11212,900
11213,907
11214,1515
11215,3824
11216,1605
11217,2168
11218,1806
11219,558
11220,1353
11221,2128
11222,1935
11223,1074
11224,1015
11225,1283
11226,1827
11228,1065
11229,1524
11230,981
11231,1813
11232,618
11233,1189
11234,1909
11235,1469
11236,1081
11237,1256
11238,2521
11239,345
11354,751
11355,812
11356,508
11357,1017
11358,884
11360,444
11361,795
11362,325
11363,186
11364,783
11365,907
11366,285
11367,623
11368,1000
11369,554
11370,516
11372,1382
11373,1194
11374,959
11375,1980
11377,1683
11378,989
11379,1223
11385,2345
11411,205
11412,392
11413,371
11414,770
11415,493
11416,333
11417,577
11418,559
11419,378
11420,512
11421,749
11422,276
11423,279
11426,356
11427,283
11428,206
11429,231
11432,522
11433,320
11434,658
11435,666
11436,205
11691,497
11692,356
11693,410
11694,589
11695,3
11697,89
