,ZipCode,counts,Borough,Neighborhood
128,11357.0,1017,Queens,North Queens
129,11358.0,884,Queens,North Queens
130,11360.0,444,Queens,North Queens
131,11361.0,795,Queens,Northeast Queens
132,11362.0,325,Queens,Northeast Queens
133,11363.0,186,Queens,Northeast Queens
134,11364.0,783,Queens,Northeast Queens
135,11365.0,907,Queens,Central Queens
136,11366.0,285,Queens,Central Queens
137,11367.0,623,Queens,Central Queens
138,11368.0,1000,Queens,West Queens
139,11369.0,554,Queens,West Queens
140,11370.0,516,Queens,West Queens
141,11372.0,1382,Queens,West Queens
142,11373.0,1194,Queens,West Queens
143,11374.0,959,Queens,West Central Queens
144,11375.0,1980,Queens,West Central Queens
145,11377.0,1683,Queens,West Queens
146,11378.0,989,Queens,West Queens
147,11379.0,1223,Queens,West Central Queens
148,11385.0,2345,Queens,West Central Queens
149,11411.0,205,Queens,Southeast Queens
150,11412.0,392,Queens,Jamaica
151,11413.0,371,Queens,Southeast Queens
152,11414.0,770,Queens,Southwest Queens
153,11415.0,493,Queens,Southwest Queens
154,11416.0,333,Queens,Southwest Queens
155,11417.0,577,Queens,Southwest Queens
156,11418.0,559,Queens,Southwest Queens
157,11419.0,378,Queens,Southwest Queens
158,11420.0,512,Queens,Southwest Queens
159,11421.0,749,Queens,Southwest Queens
160,11422.0,276,Queens,Southeast Queens
161,11423.0,279,Queens,Jamaica
162,11426.0,356,Queens,Southeast Queens
163,11427.0,283,Queens,Southeast Queens
164,11428.0,206,Queens,Southeast Queens
165,11429.0,231,Queens,Southeast Queens
166,11432.0,522,Queens,Jamaica
167,11433.0,320,Queens,Jamaica
168,11434.0,658,Queens,Jamaica
169,11435.0,666,Queens,Jamaica
170,11436.0,205,Queens,Jamaica
171,11691.0,497,Queens,Rockaways
172,11692.0,356,Queens,Rockaways
173,11693.0,410,Queens,Rockaways
174,11694.0,589,Queens,Rockaways
175,11695.0,3,Queens,Rockaways
176,11697.0,89,Queens,Rockaways
